Date,Unlocks,Minutes
"June 6, 2018 at 10:00PM",45,82.483
"June 7, 2018 at 10:00PM",56,133.933
"June 8, 2018 at 10:00PM",52,134.733
"June 9, 2018 at 10:00PM",60,209.5
"June 10, 2018 at 10:00PM",45,128.15
"June 11, 2018 at 10:00PM",47,134.75
"June 12, 2018 at 10:00PM",35,129.467
"June 13, 2018 at 10:00PM",40,90.3
"June 14, 2018 at 10:00PM",62,119.05
"June 15, 2018 at 10:01PM",44,85.517
"June 16, 2018 at 10:00PM",112,115.95
"June 17, 2018 at 10:00PM",36,153.017
"June 18, 2018 at 10:00PM",43,91.033
"June 19, 2018 at 10:00PM",47,131.633
"June 20, 2018 at 10:00PM",43,120.25
"June 21, 2018 at 10:00PM",49,98.25
"June 22, 2018 at 10:00PM",57,78.85
"June 23, 2018 at 10:00PM",91,115.65
"June 24, 2018 at 10:00PM",41,132.617
"June 25, 2018 at 10:00PM",64,109.1
"June 26, 2018 at 10:00PM",55,126.767
"June 27, 2018 at 10:00PM",62,96.9
"June 28, 2018 at 10:00PM",47,75.867
"June 29, 2018 at 10:00PM",54,109.417
"June 30, 2018 at 10:00PM",122,150
"July 1, 2018 at 10:00PM",35,116.15
"July 2, 2018 at 10:00PM",63,96.833
"July 3, 2018 at 10:00PM",54,116.333
"July 4, 2018 at 10:00PM",71,160
"July 5, 2018 at 10:00PM",39,97.867
"July 6, 2018 at 10:00PM",81,124.117
"July 7, 2018 at 10:00PM",86,174.083
"July 8, 2018 at 10:00PM",24,113.75
"July 9, 2018 at 10:00PM",43,90.35
"July 10, 2018 at 10:00PM",65,136.883
"July 11, 2018 at 10:00PM",71,104.883
"July 12, 2018 at 10:00PM",49,96.267
"July 13, 2018 at 10:00PM",40,68.583
"July 14, 2018 at 10:00PM",59,180.817
"July 15, 2018 at 10:00PM",49,140.75
"July 16, 2018 at 10:00PM",61,96.017
"July 17, 2018 at 10:00PM",37,111.15
"July 18, 2018 at 10:00PM",41,124.233
"July 19, 2018 at 10:00PM",38,101.433
